year,Slaughter,Yield,Production,Imports,Exports,TotalConsumption,EndingStocks
2016,118220,96,11320,495,2377,9475,230
2017,121317,96,11611,506,2556,9540,251
2018,124991,96,11992,483,2717,9760,249
2019,130400,97,12621,481,2813,10273,265
2020,132161,97,12817,485,2880,10420,268
2021,132977,97,12922,490,2894,10516,270
2022,134160,97,13063,494,2903,10652,272
2023,135143,98,13185,499,2926,10754,277
2024,135599,98,13256,504,2948,10807,281
2025,136401,98,13361,508,2982,10882,286
2026,137677,98,13513,513,3016,11005,290
2027,138643,98,13635,517,3044,11104,295
2028,140051,99,13801,522,3084,11234,299
