year,harvest,Yield,Production,Imports,Exports,TotalConsumption,EndingStocks
 2016/17,1253,5.68,7117,745,3645,4230,1462
 2017/18,961,5.89,5659,854,2763,4279,933
 2018/19,1174,5.92,6947,857,3112,4222,1403
 2019/20,1087,6.06,6588,876,3302,4254,1311
 2020/21,1049,6.10,6398,889,3255,4095,1248
 2021/22,1049,6.13,6430,905,3255,4096,1232
 2022/23,1070,6.15,6582,918,3302,4160,1270
 2023/24,1070,6.18,6614,930,3318,4191,1305
 2024/25,1070,6.21,6649,946,3350,4239,1311
 2025/26,1070,6.24,6681,959,3366,4270,1315
 2026/27,1070,6.28,6715,975,3366,4334,1305
 2027/28,1070,6.31,6747,987,3366,4365,1308
 2028/29,1070,6.34,6782,1000,3366,4413,1311
