year,harvest,Yield,Production,Imports,Exports,TotalConsumption,industrialUse,FeedUse,EndingStocks
 2016/17,2494,4.89,12199,44,6041,6282,2910,3372,850
 2017/18,2042,4.53,9242,51,5211,4047,1501,2546,885
 2018/19,2061,4.71,9701,0,3810,5842,3175,2667,934
 2019/20,2023,4.23,8560,0,3810,4947,2534,2413,737
 2020/21,2023,4.23,8560,0,3810,4827,2541,2286,660
 2021/22,2064,4.22,8713,0,3810,4953,2540,2413,610
 2022/23,2064,4.22,8713,0,3810,4827,2541,2286,686
 2023/24,2064,4.22,8713,0,3810,4954,2541,2413,635
 2024/25,2064,4.22,8713,0,3810,4827,2541,2286,711
 2025/26,2104,4.23,8890,0,3810,5080,2540,2540,711
 2026/27,2104,4.23,8890,0,3810,5080,2540,2540,711
 2027/28,2104,4.23,8890,0,3810,5080,2540,2540,711
 2028/29,2104,4.23,8890,0,3810,5080,2540,2540,711
