year,Crush,ExtractionRate,Production,Imports,Exports,TotalConsumption,FoodUse,FeedUse,EndingStocks
 2016/17,51742,19.39,10035,145,1159,9010,     --,     --,776,
 2017/18,55926,19.30,10793,159,1111,9616,     --,     --,1001,
 2018/19,56336,19.25,10845,136,998,10024,     --,     --,960,
 2019/20,56472,19.26,10879,136,862,10239,     --,     --,874,
 2020/21,57153,19.28,11020,136,816,10343,     --,     --,871,
 2021/22,57697,19.30,11136,136,794,10444,     --,     --,905,
 2022/23,58241,19.32,11251,136,805,10545,     --,     --,942,
 2023/24,58786,19.33,11365,136,850,10649,     --,     --,944,
 2024/25,59602,19.35,11533,136,975,10728,     --,     --,910,
 2025/26,60282,19.37,11675,136,1009,10818,     --,     --,894,
 2026/27,60963,19.38,11816,136,1043,10909,     --,     --,894,
 2027/28,61643,19.40,11957,136,1075,11000,     --,     --,912,
 2028/29,62188,19.41,12071,136,1108,11078,     --,     --,933,
