year,Crush,ExtractionRate,Production,Imports,Exports,TotalConsumption,FoodUse,FeedUse,EndingStocks            ,
 2016/17,51742,78.52,40630,317,10505,30318,0,30318,363,
 2017/18,55926,79.81,44633,454,13517,31570,0,31570,363,
 2018/19,56336,78.83,44407,318,12247,32478,0,32478,363,
 2019/20,56472,79.20,44724,272,12247,32840,0,32840,272,
 2020/21,57153,79.13,45223,272,12247,33248,0,33248,272,
 2021/22,57697,79.09,45631,272,12247,33656,0,33656,272,
 2022/23,58241,79.13,46085,272,12247,34110,0,34110,272,
 2023/24,58786,79.17,46539,272,12247,34564,0,34564,272,
 2024/25,59602,79.15,47174,272,12428,35018,0,35018,272,
 2025/26,60282,79.16,47718,272,12519,35471,0,35471,272,
 2026/27,60963,79.17,48262,272,12610,35924,0,35924,272,
 2027/28,61643,79.10,48761,272,12655,36378,0,36378,272,
 2028/29,62188,79.21,49260,272,12701,36831,0,36831,272,
