year,harvest,Yield,Production,Imports,Exports,TotalConsumption,industrialUse,FeedUse,EndingStocks
 2016/17,17746,3.54,62833,3212,28602,31864,27494,4370,32131
 2017/18,15192,3.12,47345,4284,24524,29329,27969,1360,29907
 2018/19,16028,3.20,51287,3810,27896,31080,28086,2994,26028
 2019/20,17442,3.21,56052,3538,28564,31662,28396,3266,25392
 2020/21,17118,3.24,55468,3810,27191,31733,28467,3266,25746
 2021/22,16956,3.27,55395,3674,27200,31815,28549,3266,25800
 2022/23,16795,3.29,55314,3538,27173,31924,28658,3266,25555
 2023/24,16795,3.32,55762,3538,27186,32032,28766,3266,25637
 2024/25,16795,3.35,56210,3538,27171,32114,28848,3266,26100
 2025/26,16592,3.37,55975,3266,27181,32224,28958,3266,25936
 2026/27,16592,3.40,56417,3266,27160,32332,29066,3266,26127
 2027/28,16430,3.43,56305,3266,27157,32441,29175,3266,26100
 2028/29,16430,3.45,56743,3266,27840,32550,29284,3266,25719
