year,Slaughter,Yield,Production,Imports,Exports,TotalConsumption,EndingStocks
2016,236869,289,68539,9574,9574,68541,620
2017,242741,288,69829,10116,10116,69892,557
2018,246795,289,71232,10714,10714,71256,533
2019,248547,290,72117,10736,10736,72116,534
2020,262541,278,73095,11101,11101,73148,481
2021,265166,278,73765,11327,11327,73768,478
2022,267679,278,74434,11510,11510,74435,477
2023,270155,278,75205,11703,11703,75207,475
2024,272532,279,75983,11881,11881,75984,474
2025,274554,279,76704,12057,12057,76705,473
2026,276638,280,77445,12251,12251,77446,472
2027,278708,280,78168,12441,12441,78169,471
2028,280682,281,78879,12631,12631,78880,470
