year,Slaughter,Yield,Production,Imports,Exports,TotalConsumption,EndingStocks
2016,1232173,94,115559,8428,8428,115606,634
2017,1233255,95,116561,8373,8373,116514,681
2018,1257874,94,118592,8616,8616,118499,774
2019,1272825,95,120327,8871,8871,120346,755
2020,1227793,99,121808,9102,9102,121825,738
2021,1238928,100,123294,9322,9322,123296,736
2022,1249213,100,124713,9484,9484,124705,744
2023,1260644,100,126187,9679,9679,126178,753
2024,1274536,100,127843,9892,9892,127834,762
2025,1283096,101,129122,10082,10082,129113,771
2026,1293140,101,130548,10268,10268,130538,781
2027,1305359,101,132118,10477,10477,132109,790
2028,1316399,102,133627,10687,10687,133617,800
