year,Production,Imports,Exports,TotalConsumption,EndingStocks
2016,114184,11795,11795,114200,700,
2017,116766,12168,12168,116568,898,
2018,119243,12283,12283,119231,910,
2019,122197,12761,12761,122208,899,
2020,124368,13221,13221,124367,900,
2021,126884,13630,13630,126879,905,
2022,129406,14014,14014,129404,907,
2023,132022,14408,14408,132020,909,
2024,134916,14777,14777,134912,913,
2025,137767,15127,15127,137763,917,
2026,140474,15480,15480,140471,920,
2027,143223,15841,15841,143220,923,
2028,145852,16211,16211,145849,927,
