year,harvest,Yield,Production,Imports,Exports,TotalConsumption,EndingStocks
 2016/17,161625,3.02,487368,47250,47250,483333,136907
 2017/18,161658,3.04,491517,48229,48229,482504,145920
 2018/19,161985,3.01,487759,49511,49511,488471,145208
 2019/20,162666,3.03,493005,50565,50565,490808,147405
 2020/21,162819,3.05,496054,51391,51391,493878,149581
 2021/22,163040,3.06,499565,52240,52240,496404,152742
 2022/23,163400,3.08,503244,53069,53069,499431,156555
 2023/24,163722,3.09,506637,53893,53893,502851,160341
 2024/25,164002,3.11,509925,54729,54729,506247,164019
 2025/26,164246,3.12,513170,55600,55600,509740,167449
 2026/27,164512,3.14,516486,56479,56479,512955,170980
 2027/28,164798,3.15,519926,57315,57315,516118,174788
 2028/29,165036,3.17,523064,58189,58189,518980,178872
