year,harvest,Yield,Production,Imports,Exports,TotalConsumption,industrialUse,FeedUse,EndingStocks
 2016/17,44291,1.43,63373,7565,7565,63800,39476,24324,5357
 2017/18,40005,1.44,57552,7104,7104,58192,35386,22806,4717
 2018/19,41366,1.43,59211,6167,6167,59456,37477,21979,4472
 2019/20,41892,1.42,59549,6250,6250,59998,39169,20829,4023
 2020/21,42489,1.42,60535,6289,6289,60531,39520,21011,4027
 2021/22,42980,1.43,61477,6332,6332,61459,40079,21380,4045
 2022/23,43352,1.44,62281,6363,6363,62154,40655,21499,4172
 2023/24,43744,1.44,63107,6413,6413,63078,41209,21869,4201
 2024/25,44283,1.45,64026,6458,6458,63858,41839,22019,4369
 2025/26,44799,1.45,65124,6490,6490,65032,42485,22547,4461
 2026/27,45262,1.46,66032,6532,6532,65938,43126,22812,4555
 2027/28,45793,1.46,67010,6588,6588,66933,43805,23128,4632
 2028/29,46278,1.47,67949,6607,6607,67879,44468,23411,4702
