year,harvest,Yield,Production,Imports,Exports,TotalConsumption,FoodUse,FeedWaste,Crush,EndingStocks
 2016/17,119004,2.93,348121,147356,147356,331868,18196,26462,287210,96676
 2017/18,123837,2.72,337452,153124,153124,337474,19218,24117,294139,96654
 2018/19,129420,2.85,369479,157403,157403,356089,20228,27660,308201,110044
 2019/20,127431,2.81,358470,159143,159143,361214,20177,28590,312447,107300
 2020/21,129017,2.84,366047,162981,162981,368893,20324,28633,319936,104454
 2021/22,130697,2.87,374827,166033,166033,375978,20541,28994,326443,103303
 2022/23,132902,2.9,385435,170317,170317,384511,20748,29330,334433,104227
 2023/24,135052,2.93,396140,175656,175656,394250,21034,29732,343484,106117
 2024/25,136909,2.96,405909,180107,180107,403464,21325,30124,352015,108562
 2025/26,138542,3,415032,184202,184202,413316,21629,31597,360090,110278
 2026/27,139812,3.03,422980,188073,188073,421543,21951,31985,367607,111715
 2027/28,141281,3.06,431851,192117,192117,430410,22205,32583,375622,113156
 2028/29,142713,3.09,440839,196338,196338,439518,22417,33069,384032,114477
