State,Area_name,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2003,POV_elder_than17_2018
Arizona,Gila County AZ,4,3,-13.199999
Arizona,Santa Cruz County AZ,4,5,-11.6
Louisiana,Acadia Parish LA,2,5,-10.200001
Louisiana,Assumption Parish LA,6,5,-8.0
Louisiana,Beauregard Parish LA,6,5,-3.3000011
Louisiana,Caldwell Parish LA,8,7,-9.300001
Louisiana,Claiborne Parish LA,6,9,-8.399998
Louisiana,Iberia Parish LA,2,5,-15.199999
Louisiana,Jackson Parish LA,6,5,-9.9
Louisiana,Jefferson Davis Parish LA,6,5,-6.0999985
Louisiana,Lincoln Parish LA,4,5,-4.1000004
Louisiana,Morehouse Parish LA,6,5,-13.699999
Louisiana,Natchitoches Parish LA,6,5,-0.6000023
Louisiana,Red River Parish LA,8,7,-10.199999
Louisiana,St. Landry Parish LA,4,5,-13.899998
Louisiana,St. Mary Parish LA,4,5,-7.799999
Louisiana,Vermilion Parish LA,2,5,-6.9000015
Louisiana,Washington Parish LA,6,3,-12.1
Louisiana,Webster Parish LA,2,5,-8.5
Minnesota,Aitkin County MN,8,7,-6.4000006
Minnesota,Clearwater County MN,8,7,-4.999999
Minnesota,Faribault County MN,6,9,-5.9000006
Minnesota,Goodhue County MN,4,3,-0.8000002
Minnesota,Kandiyohi County MN,4,5,-6.3999996
Minnesota,Koochiching County MN,6,11,-6.700001
Minnesota,McLeod County MN,6,3,-2.0000005
Minnesota,Mahnomen County MN,8,7,-8.800001
Minnesota,Marshall County MN,8,7,-1.5
Minnesota,Mower County MN,4,5,-1.7999992
Minnesota,Norman County MN,8,7,-5.8999996
Minnesota,Otter Tail County MN,6,5,-3.6999998
Minnesota,Red Lake County MN,8,7,-1.9000006
Minnesota,Renville County MN,8,9,-4.8999996
Minnesota,Rice County MN,4,3,-2.0
Minnesota,Waseca County MN,6,9,-2.8000002
Minnesota,Watonwan County MN,6,9,-3.5
Minnesota,Wilkin County MN,6,5,-4.200001
Minnesota,Winona County MN,4,5,1.8999996
Oregon,Clatsop County OR,4,3,-5.0
Oregon,Crook County OR,6,5,-6.800001
Oregon,Douglas County OR,4,5,-6.299999
Oregon,Hood River County OR,6,3,-3.8000002
Oregon,Malheur County OR,6,5,-8.0
Oregon,Morrow County OR,6,5,-5.700001
Oregon,Wasco County OR,6,3,-6.300001
Virginia[E],Accomack County VA,8,9,-9.700001
Virginia[E],Bland County VA,8,7,-0.8999996
Virginia[E],Charlotte County VA,8,7,-10.400002
Virginia[E],Cumberland County VA,8,1,-9.500001
Virginia[E],Henry County VA,4,5,-8.0
Virginia[E],King and Queen County VA,8,1,-7.0999994
Virginia[E],Lee County VA,8,7,-7.700001
Virginia[E],Louisa County VA,8,1,-3.5999994
Virginia[E],Madison County VA,8,7,-6.0
Virginia[E],Patrick County VA,8,7,-7.200001
Virginia[E],Surry County VA,8,1,-7.300001
Virginia[E],Westmoreland County VA,6,11,-10.4
Virginia[E],Martinsville city VA,4,5,-9.0
Kentucky[E],Anderson County KY,6,5,-4.3999996
Kentucky[E],Barren County KY,6,5,-7.5999985
Kentucky[E],Bath County KY,8,5,-12.699999
Kentucky[E],Breckinridge County KY,8,7,-4.9000015
Kentucky[E],Franklin County KY,4,5,-5.8999996
Kentucky[E],Green County KY,8,7,-8.1
Kentucky[E],Hart County KY,8,7,-6.299999
Kentucky[E],Lawrence County KY,6,7,-5.6000004
Kentucky[E],Lewis County KY,8,5,-7.8999977
Kentucky[E],Madison County KY,4,5,-1.1000004
Kentucky[E],Mason County KY,6,3,-6.5999985
Kentucky[E],Monroe County KY,8,9,-11.599998
Kentucky[E],Montgomery County KY,6,5,-5.8
Kentucky[E],Muhlenberg County KY,6,5,-5.300001
Kentucky[E],Nelson County KY,6,1,-4.2
Kentucky[E],Nicholas County KY,8,7,-12.700001
Kentucky[E],Todd County KY,8,7,-7.1000004
Wyoming,Albany County WY,4,5,6.8999996
Michigan,Allegan County MI,4,5,-2.9000006
Michigan,Arenac County MI,8,7,-8.200001
Michigan,Branch County MI,6,5,-6.700001
Michigan,Clare County MI,6,9,-11.800001
Michigan,Gratiot County MI,6,5,-4.5999985
Michigan,Lenawee County MI,4,5,-3.6000004
Michigan,Mecosta County MI,6,5,-2.3000011
Michigan,Oceana County MI,6,7,-7.799999
Michigan,St. Joseph County MI,4,5,-4.299999
Michigan,Shiawassee County MI,4,5,-4.5
Nevada,Churchill County NV,6,5,-6.6000004
Nevada,Douglas County NV,4,5,-4.6000004
Nevada,Nye County NV,4,3,-10.7
Wisconsin,Adams County WI,8,7,-8.400001
Wisconsin,Bayfield County WI,8,7,-8.7
Wisconsin,Dodge County WI,4,3,-1.9000006
Wisconsin,Dunn County WI,6,5,0.6999998
Wisconsin,Grant County WI,6,5,-0.5
Wisconsin,Green County WI,2,5,-2.3000002
Wisconsin,Jefferson County WI,4,3,-2.2999992
Wisconsin,Lafayette County WI,8,7,-5.5999994
Wisconsin,Lincoln County WI,6,5,-2.3999996
Wisconsin,Manitowoc County WI,4,5,-2.6000004
Wisconsin,Marinette County WI,6,5,-4.5
Wisconsin,Marquette County WI,8,7,-5.499999
Wisconsin,Menominee County WI,8,7,-16.8
Wisconsin,Pepin County WI,8,7,-5.2
Wisconsin,Portage County WI,4,5,1.4000006
Wisconsin,Sauk County WI,4,5,-3.0
Wisconsin,Trempealeau County WI,6,7,-2.6000004
Wisconsin,Walworth County WI,4,3,-1.1999998
Wisconsin,Wood County WI,4,5,-3.0999994
Idaho,Bingham County ID,4,5,-3.8999996
Idaho,Elmore County ID,6,5,-7.200001
Idaho,Fremont County ID,6,5,-6.9000006
Idaho,Latah County ID,4,5,2.5
Idaho,Lewis County ID,8,7,-9.099999
Idaho,Madison County ID,4,5,7.5
Idaho,Oneida County ID,8,7,-3.5999994
Idaho,Payette County ID,6,5,-3.3000002
Idaho,Shoshone County ID,6,7,-5.800001
Idaho,Valley County ID,8,7,-5.5
California,Lake County CA,4,5,-7.8999996
California,Mariposa County CA,8,7,-8.300001
California,Mendocino County CA,4,5,-8.0
California,Nevada County CA,4,3,-3.3999996
California,Sierra County CA,8,7,-4.7
California,Siskiyou County CA,6,11,-7.1000004
California,Tehama County CA,4,5,-7.200001
California,Tuolumne County CA,4,5,-4.0
Connecticut,Litchfield County CT,4,5,-1.2000003
Connecticut,Windham County CT,2,5,-3.1000004
Nebraska,Burt County NE,8,7,-3.0
Nebraska,Dodge County NE,4,5,-2.0999994
Nebraska,Gage County NE,6,5,-2.6999998
Nebraska,Johnson County NE,8,7,-0.09999943
Nebraska,Thurston County NE,8,7,-8.800001
Nebraska,York County NE,6,11,-2.3000002
Montana,Chouteau County MT,8,7,-6.5
Montana,Granite County MT,8,7,-6.700001
Montana,Judith Basin County MT,8,7,-3.499999
Montana,Mineral County MT,8,7,-10.9
Montana,Musselshell County MT,8,7,-12.200001
Montana,Powell County MT,6,9,-2.6999989
Montana,Sanders County MT,8,7,-8.799999
Montana,Stillwater County MT,8,7,-2.7999992
Montana,Teton County MT,8,7,-5.7
Montana,Treasure County MT,8,7,-10.6
Vermont,Bennington County VT,6,5,-5.1000004
Vermont,Lamoille County VT,8,7,-2.0
Vermont,Washington County VT,4,5,-1.5
Maryland,Dorchester County MD,6,5,-11.6
Maryland,Garrett County MD,6,7,-6.2
Maryland,Talbot County MD,6,3,-5.4000006
Maryland,Worcester County MD,2,5,-7.300001
Delaware,Sussex County DE,2,5,-9.3
Missouri,Audrain County MO,6,5,-8.9
Missouri,Dade County MO,8,7,-8.400002
Missouri,Gentry County MO,8,7,-4.1000004
Missouri,Hickory County MO,8,7,-16.7
Missouri,Holt County MO,8,7,-6.4000006
Missouri,Johnson County MO,4,3,0.20000076
Missouri,Laclede County MO,6,5,-6.800001
Missouri,Madison County MO,6,9,-7.8999996
Missouri,Maries County MO,8,7,-5.800001
Missouri,Mississippi County MO,6,9,-8.5
Missouri,Nodaway County MO,6,5,5.999999
Missouri,Perry County MO,6,9,-4.0
Missouri,Pettis County MO,4,3,-6.699999
Missouri,Randolph County MO,6,5,-8.5
Missouri,St. Francois County MO,4,3,-5.6000004
Missouri,Saline County MO,6,3,-5.2
Missouri,Stoddard County MO,6,9,-7.0999994
Missouri,Stone County MO,6,5,-8.1
Missouri,Taney County MO,4,5,-7.6000004
Missouri,Washington County MO,6,1,-6.199999
Illinois,Christian County IL,6,5,-5.3999996
Illinois,Franklin County IL,4,9,-6.6000004
Illinois,Fulton County IL,6,5,-6.3
Illinois,Gallatin County IL,8,7,-11.4
Illinois,Knox County IL,4,5,-6.300001
Illinois,La Salle County IL,4,3,-6.6000004
Illinois,Lee County IL,6,3,-4.2
Illinois,Livingston County IL,4,5,-3.6999989
Illinois,Logan County IL,6,5,-6.1000004
Illinois,Marion County IL,4,3,-10.700001
Illinois,Morgan County IL,4,5,-7.9000006
Illinois,Ogle County IL,4,5,-2.8000002
Illinois,Perry County IL,6,9,-5.6000004
Illinois,Putnam County IL,8,5,-4.0
Illinois,Stephenson County IL,4,5,-8.2
Illinois,Union County IL,6,9,-7.1000004
Illinois,Whiteside County IL,4,5,-6.6000004
Maine,Kennebec County ME,4,5,-3.8000002
Maine,Lincoln County ME,8,7,-5.699999
Washington,Garfield County WA,8,7,-4.2
Washington,Grays Harbor County WA,4,5,-6.5
Washington,Island County WA,4,3,-2.1999998
Washington,Kittitas County WA,4,3,3.0
Washington,Lewis County WA,4,5,-4.3999996
Washington,Lincoln County WA,8,7,-4.0
Washington,Mason County WA,4,5,-9.099999
Washington,Pend Oreille County WA,2,7,-8.200001
Washington,Wahkiakum County WA,8,7,-8.9
Washington,Whitman County WA,4,5,13.5
Mississippi,Amite County MS,8,5,-10.700001
Mississippi,Claiborne County MS,8,7,-9.600002
Mississippi,Greene County MS,8,7,-2.3999996
Mississippi,Humphreys County MS,6,9,-19.3
Mississippi,Jefferson Davis County MS,8,7,-11.599998
Mississippi,Jones County MS,4,5,-8.700001
Mississippi,Lafayette County MS,4,3,1.7999992
Mississippi,Lawrence County MS,8,7,-8.5
Mississippi,Lincoln County MS,6,5,-5.699999
Mississippi,Pearl River County MS,6,3,-8.1
Mississippi,Smith County MS,8,7,-8.0
Mississippi,Tippah County MS,6,9,-6.200001
Mississippi,Union County MS,6,9,-5.3999996
Mississippi,Warren County MS,4,5,-11.799999
Mississippi,Wilkinson County MS,8,7,-8.400002
Mississippi,Yazoo County MS,2,5,-4.1000023
Alabama,Chambers County AL,6,5,-12.0
Alabama,Coffee County AL,4,5,-8.099999
Alabama,Coosa County AL,8,7,-11.200001
Alabama,Covington County AL,6,9,-9.6
Alabama,Cullman County AL,4,3,-5.200001
Alabama,Dale County AL,4,5,-8.199999
Alabama,Dallas County AL,4,5,-16.6
Alabama,Jackson County AL,6,5,-7.0999985
Alabama,Macon County AL,6,5,-9.5
Alabama,Marshall County AL,4,5,-9.6
Alabama,Pike County AL,6,5,-7.0
Alabama,Talladega County AL,4,5,-7.1000004
Alabama,Washington County AL,8,7,-8.199999
Indiana,Adams County IN,6,5,-10.1
Indiana,Cass County IN,4,5,-3.7999992
Indiana,Clinton County IN,6,5,-4.3999996
Indiana,Decatur County IN,6,3,-3.6999998
Indiana,De Kalb County IN,4,5,-2.6999998
Indiana,Franklin County IN,6,1,-2.7999992
Indiana,Grant County IN,4,5,-11.1
Indiana,Henry County IN,4,3,-4.200001
Indiana,Huntington County IN,6,5,-4.0999994
Indiana,Jackson County IN,4,5,-3.1999998
Indiana,Jefferson County IN,6,3,-6.8999996
Indiana,Jennings County IN,6,5,-7.0999994
Indiana,Kosciusko County IN,4,5,-3.3000002
Indiana,Lawrence County IN,6,5,-4.799999
Indiana,Marshall County IN,6,5,-2.6000004
Indiana,Miami County IN,6,5,-6.199999
Indiana,Montgomery County IN,6,3,-4.7
Indiana,Noble County IN,6,5,-3.0
Indiana,Perry County IN,6,9,-4.0
Indiana,Pike County IN,8,5,-2.5999994
Indiana,Spencer County IN,8,7,-2.6000004
Indiana,Wabash County IN,6,5,-4.8999996
Indiana,Warren County IN,8,7,-6.3
Ohio,Ashland County OH,4,5,-2.2000008
Ohio,Ashtabula County OH,4,3,-6.6000004
Ohio,Athens County OH,4,5,3.9000015
Ohio,Auglaize County OH,4,5,-1.2999997
Ohio,Champaign County OH,6,5,-4.8
Ohio,Clinton County OH,6,3,-4.8
Ohio,Columbiana County OH,4,5,-7.199999
Ohio,Coshocton County OH,6,3,-8.800001
Ohio,Crawford County OH,4,5,-6.3999996
Ohio,Darke County OH,6,5,-3.1000004
Ohio,Defiance County OH,4,5,-4.8999996
Ohio,Fayette County OH,6,3,-7.8999996
Ohio,Gallia County OH,6,5,-8.799999
Ohio,Guernsey County OH,6,5,-8.0
Ohio,Hancock County OH,4,5,-3.4000006
Ohio,Huron County OH,4,5,-3.5
Ohio,Knox County OH,4,3,-6.5999994
Ohio,Logan County OH,6,3,-4.800001
Ohio,Marion County OH,4,3,-8.200001
Ohio,Morgan County OH,6,7,-8.200001
Ohio,Muskingum County OH,4,3,-7.3999996
Ohio,Ross County OH,4,3,-7.1000004
Ohio,Sandusky County OH,4,5,-3.3999996
Ohio,Scioto County OH,4,5,-6.199999
Ohio,Seneca County OH,4,5,-4.1000004
Ohio,Shelby County OH,4,5,-2.8000002
Ohio,Tuscarawas County OH,4,5,-4.999999
Ohio,Van Wert County OH,6,5,-3.1000004
Ohio,Wayne County OH,4,3,-4.4000006
Ohio,Williams County OH,6,9,-4.5
Tennessee,Bedford County TN,4,3,-8.4
Tennessee,Bledsoe County TN,8,7,-8.299999
Tennessee,Campbell County TN,2,5,-6.199999
Tennessee,Cocke County TN,6,5,-13.200001
Tennessee,Coffee County TN,4,3,-9.200001
Tennessee,Franklin County TN,6,5,-5.3999996
Tennessee,Greene County TN,4,5,-8.799999
Tennessee,Grundy County TN,8,7,-6.5999985
Tennessee,Hancock County TN,8,7,-11.199999
Tennessee,Haywood County TN,6,5,-10.299999
Tennessee,Jackson County TN,8,3,-9.800001
Tennessee,Johnson County TN,6,7,-7.199999
Tennessee,Lawrence County TN,6,5,-7.0
Tennessee,McMinn County TN,4,5,-5.8999996
Tennessee,Meigs County TN,8,7,-8.800001
Tennessee,Putnam County TN,4,3,-4.200001
Tennessee,Roane County TN,2,5,-7.2
Tennessee,Sevier County TN,4,5,-9.1
Tennessee,Warren County TN,6,3,-12.799999
Iowa,Adair County IA,8,7,-3.3000002
Iowa,Audubon County IA,8,7,-7.1000004
Iowa,Boone County IA,6,5,-1.0
Iowa,Butler County IA,8,7,-2.3999996
Iowa,Clayton County IA,8,7,-3.8000002
Iowa,Clinton County IA,4,5,-4.299999
Iowa,Henry County IA,6,9,-2.8999996
Iowa,Howard County IA,6,11,-3.6000004
Iowa,Ida County IA,8,7,-2.3000002
Iowa,Jasper County IA,6,5,-1.0
Iowa,Keokuk County IA,8,7,-5.6000004
Iowa,Louisa County IA,8,5,-3.1000004
