year,UsBarleyContribution%,worldBarleyContribution,UsBeefContribution%,worldBeefContribution,UsCornContribution%,worldCornContribution,UsCottonContribution,worldCottonContributio,UsPorkContribution%,worldPorkContribution,UsPoultryContribution%,worldPoultryContribution,UsRiceContribution%,worldRiceContribution,UsSorghumContribution%,worldSorghumContribution,UsSoybeanContribution%,worldSoybeanContribution,UsSoybeanMealContribution%,worldSoybeanMealContribution,UsWheatContribution%,worldWheatContribution,UsSoybeanOilContribution%,worldSoybeanOilContribution
2016,2.1057756679447386,49293,0.0,236869,0.588512241054614,186912,12.952740002692877,29708,9.594431950708222,1232173,18.58666713374904,114184,0.7752513534416087,161625,5.63094082319207,44291,28.12174380693086,119004,0.4916634354400931,64475,103.74531835205991,18.69,8.354530018628264,752083
2017,1.6437388304725489,48122,"",242741,0.5715125487826783,183723,13.445881226053642,33408,9.837138304730166,1233255,18.54221263038898,116766,0.5944648579099086,161658,5.104361954755656,40005,29.25458465563604,123837,0.7108633701813172,63866,103.26377742108079,18.69,6.239966892392367,758738
2018,1.6407227383662504,48759,0.0,246795,0.462562377897137,183759,12.831325301204819,33200,9.936686822368536,1257874,18.471524533934904,119243,0.724758465289996,161985,4.982352656771261,41366,27.62556019162417,129420,0.4841214261790945,65686,103.10658810926618,18.67,7.016754181704751,730922
2019,1.7839246341952295,49890,0.0,248547,0.47270752818678335,187854,14.532285856137378,34241,10.244927621629053,1272825,18.350696007266954,122197,0.6682404436083754,162666,4.829084312040485,41892,25.977195501879446,127431,0.4118092354277063,66050,102.50133049494414,18.79,7.390569416132886,758426
2020,1.7775469851604786,50069,0.0,262541,0.5180829353474575,190124,13.128981357021798,34222,10.76411088839894,1227793,18.01347613534028,124368,0.6442737027005447,162819,4.761232318953141,42489,25.6578590418317,129017,0.4035488561170292,67402,102.60777009047366,18.79,7.227279893573913,767481
2021,1.855653664467521,50171,0.0,265166,0.5355764617534784,191756,12.87412286982672,34915,10.733230663928815,1238928,17.849374231581603,126884,0.6434003925417076,163040,4.80223359702187,42980,25.483369931980075,130697,0.39640322369092207,68617,102.65957446808511,18.80,7.141043176272064,775727
2022,1.8531788685855328,50238,0.0,267679,0.5417157257648055,193644,12.451200265802807,36117,10.739561628000988,1249213,17.647558845803132,129406,0.6548347613219094,163400,4.761026019560805,43352,25.18246527516516,132902,0.3890104546559689,69921,102.71132376395535,18.81,7.052919207773843,784271
2023,1.9268549203262357,50393,0.0,270155,0.5518514719458406,194980,12.431203964842146,36521,10.720155729928512,1260644,17.43270061050431,132022,0.6535468660290004,163722,4.718361375274323,43744,24.93113763587359,135052,0.38129415722776716,71336,102.76448697501328,18.81,7.039039008712644,792182
2024,1.9236483943182046,50477,0.0,272532,0.5579057078045491,195732,12.482292688242346,36708,10.63908747967888,1274536,17.22627412612292,134916,0.6524310679138059,164002,4.660930831244495,44283,24.740521076043212,136909,0.37364690367602615,72796,102.8708133971292,18.81,7.020098638567955,800701
2025,1.9188206465892026,50604,0.0,274554,0.5637579802227606,196893,12.509466623390676,36972,10.630615324184628,1283096,17.009878998599085,137767,0.6514618316427797,164246,4.696533404763499,44799,24.59542954483117,138542,0.36632009912190916,74252,102.92242295430394,18.82,6.926578882565562,808119
2026,1.9124714409517056,50772,0.0,276638,0.5690933858029362,198210,12.566643330281652,37138,10.646720386037089,1293140,16.79171946410012,140474,0.6504084808403034,164512,4.648491007909505,45262,24.372013847166194,139812,0.3594365303803156,75674,102.92087095061073,18.83,6.907609181413356,816737
2027,1.908524480610099,50877,0.0,278708,0.5740683955743449,198931,12.592909470081814,37402,10.621062864698523,1305359,16.539941210559757,143223,0.6492797242684983,164798,4.594588692594938,45793,24.261577989963264,141281,0.3529030165423289,77075,103.02708443972384,18.83,6.827811341163802,824642
2028,1.9040709075221585,50996,0.0,280682,0.5803365952252306,199884,12.600806451612904,37696,10.638947613907334,1316399,16.30968378904643,145852,0.6483433917448315,165036,4.546436751804313,46278,24.018134297506183,142713,0.34646592023641204,78507,103.02547770700636,18.84,6.811868398875393,833002
